"cluster","unique_sites"
1,"Aiston Preserve"
1,"Donkey Creek Delta"
1,"Edmonds Ferry"
1,"Everett Harbor"
1,"Friday Harbor"
1,"Hood Canal Holly"
1,"Maple Hollow Park"
1,"N Avenue Park"
1,"North Camano"
1,"Purdy, Dexters"
2,"Arroyo Beach"
2,"Brackenwood Lane"
2,"Browns Point Lighthouse"
2,"Cherry Point Aquatic Reserve, Conoco Phillips"
2,"Chimacum Creek delta"
2,"Commencement Bay, Milwaukee Waterway"
2,"Eastsound, Fishing Bay"
2,"Elliott Bay, Harbor Island, Pier 17"
2,"Filucy Bay"
2,"Kingston Marina"
2,"Kopachuck State Park"
2,"Madrona Pont"
2,"Manchester, Stormwater Outfall"
2,"Maristone Island"
2,"Miller Creek"
2,"Mukilteo"
2,"Penrose Point State Park"
2,"Port Angeles Yacht Club"
2,"Raft Island Park"
2,"Reach Island"
2,"Rich Passage"
2,"Salmon Bay, Commodore Park"
2,"Salmon Beach"
2,"Squaxin Island"
2,"Suquamish Stormwater Outfall"
2,"Tulalip Bay"
2,"Tulalip Reservation"
2,"West Bay Park"
2,"Williams Olson Park"
3,"Blair Waterway"
3,"Blair Waterway Two"
3,"Broad Spit"
3,"Cap Sante"
3,"Chambers Bay Park"
3,"Chuckanut, Clark's Point"
3,"Commencement Bay Skookum"
3,"Commencement Bay, Dick Gilmur Launch"
3,"Des Moines Marina"
3,"Discovery Bay"
3,"Eagle Harbor Dr"
3,"Edmonds Marina"
3,"Eld Inlet"
3,"Elliot Bay Myrtle Edwards"
3,"Fidalgo Bay Aq Reserve, Weaverling Spit"
3,"Gig Harbor Boat Launch"
3,"Jamestown"
3,"Kitsap St Boat Launch"
3,"Lions Park"
3,"Locust Beach"
3,"Meyer's Point, Henderson Inlet"
3,"Minter Bay"
3,"Oak Bay County Park"
3,"Penn Cove Reference"
3,"Point Defiance Ferry"
3,"Purdy, Burley Lagoon"
3,"Rocky Point"
3,"Seattle Aquarium, Pier 59"
3,"Shilshole Bay"
3,"Silverdale, Dyes Inlet"
3,"Skiff Point"
3,"Smith Cove, Terminal 91"
3,"South of Skunk Island"
3,"Thea Foss Waterway"
3,"Three Tree Point"
