latitude,longitude,site_name,site_number,reporting_area,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62
48.6793778,-122.6300583,Aiston Preserve,77,7,1.704553377,1.400168845,-1.095784314,2.191568627,2.252445534,-1.095784314,2.800337691,1.339291939,-1.095784314,2.495953159,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,1.461045752,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,1.948061002,2.069814815,1.400168845,-1.095784314,-1.095784314,-1.095784314,-1.095784314,1.82630719,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314
47.50161,-122.38593,Arroyo Beach,13,11,3.061697736,1.740965379,-1.380765646,2.821564581,3.361864181,-1.380765646,5.042796272,2.701498003,-1.380765646,4.922729694,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,1.680932091,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.320732357,-1.380765646,-1.380765646,-1.320732357,-1.380765646,-1.380765646,1.620898802,1.680932091,-1.320732357,-1.380765646,-1.380765646,1.560865513,-1.380765646,1.500832224,-1.380765646,-1.380765646,-1.320732357,1.680932091,1.560865513
47.27568,-122.4173,Blair Waterway,41,11,2.91538093,1.650215621,-1.320172496,2.970388117,3.080402492,-1.320172496,4.56559655,2.420316243,-1.320172496,4.400574988,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,1.760229995,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,1.87024437,2.035265932,1.375179684,1.375179684,-1.320172496,1.925251557,-1.320172496,1.760229995,-1.320172496,-1.320172496,-1.320172496,1.815237183,1.540201246
47.2632444,-122.385731,Blair Waterway #2,42,11,3.665701881,2.016136035,-1.710660878,3.726796913,3.482416787,-1.710660878,5.070887603,2.627086348,-1.710660878,4.643222383,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,1.832850941,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.649565847,-1.710660878,-1.710660878,2.016136035,2.199421129,-1.710660878,-1.710660878,-1.710660878,2.382706223,1.710660878,2.68818138,-1.710660878,-1.710660878,-1.710660878,2.199421129,2.016136035
47.68234,-122.5064,Brackenwood Ln,23,10,2.772765293,-1.533870162,-1.533870162,2.772765293,2.949750312,-1.592865169,4.660605493,2.477790262,-1.533870162,4.719600499,-1.592865169,-1.592865169,-1.533870162,-1.533870162,-1.592865169,-1.533870162,1.828845194,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,1.8878402,2.005830212,-1.533870162,-1.592865169,-1.533870162,1.592865169,-1.533870162,-1.533870162,-1.592865169,-1.533870162,-1.533870162,1.651860175,-1.533870162
47.78184,-122.83474,Broad Spit (Fisherman's Point),30,12,1.74146287,1.473545505,-1.205628141,2.076359576,2.478235623,-1.272607482,3.215008375,1.339586823,-1.205628141,2.679173646,-1.272607482,-1.272607482,-1.205628141,-1.205628141,-1.272607482,-1.205628141,1.607504188,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,1.74146287,2.009380235,1.339586823,-1.272607482,-1.272607482,-1.205628141,-1.272607482,1.406566164,-1.272607482,-1.205628141,-1.205628141,-1.205628141,-1.205628141
47.30515,-122.44441,Browns Point Lighthouse,54,11,3.334888132,1.75520428,-1.053122568,3.100860895,3.159367704,-1.111629377,4.563531128,2.574299611,-1.053122568,4.329503891,-1.053122568,-1.111629377,-1.053122568,-1.053122568,-1.053122568,-1.053122568,1.75520428,-1.053122568,-1.053122568,1.228642996,-1.053122568,-1.053122568,-1.053122568,-1.053122568,-1.053122568,-1.053122568,-1.053122568,-1.053122568,-1.053122568,1.75520428,2.164751946,1.462670233,1.170136187,-1.053122568,1.872217899,1.228642996,1.638190661,-1.111629377,-1.053122568,-1.053122568,1.75520428,1.75520428
48.520971,-122.600717,Cap Sante,64,7,1.909927007,1.464277372,-1.336948905,2.100919708,2.100919708,-1.336948905,2.928554745,-1.336948905,-1.336948905,2.546569343,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,1.655270073,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,1.973591241,2.164583942,1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,1.846262774,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905
47.1905742,-122.5834897,Chambers Bay Park,56,13,2.654386712,1.474659284,-0.825809199,2.536413969,2.890332198,-0.825809199,4.188032368,2.241482112,-0.825809199,3.893100511,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,1.29770017,-0.825809199,-0.825809199,1.061754685,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,1.592632027,1.769591141,1.238713799,0.884795571,-0.825809199,1.415672913,0.943781942,1.415672913,-0.825809199,-0.825809199,1.002768313,1.474659284,1.415672913
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,1.931738224,1.388436849,-0.965869112,2.293939141,2.4750396,-1.026235932,2.897607336,1.328070029,-1.026235932,2.656140058,-1.026235932,-1.026235932,-0.965869112,-0.965869112,-1.026235932,-1.026235932,2.052471863,-1.026235932,-0.965869112,-1.026235932,-0.965869112,-1.026235932,-0.965869112,-0.965869112,-1.026235932,-0.965869112,-0.965869112,-1.026235932,-0.965869112,2.233572322,2.293939141,1.448803668,1.20733639,-1.026235932,1.690270946,1.20733639,1.750637766,-1.026235932,-1.026235932,-0.965869112,1.146969571,-0.965869112
